WaitingTime,Hour,Count
2.0,1,0
2.0,2,0
2.0,3,0
2.0,4,0
2.0,5,0
2.0,6,0
2.0,7,0
2.0,8,159
2.0,9,89
2.0,10,50
2.0,11,145
2.0,12,109
2.0,13,79
2.0,14,67
2.0,15,100
2.0,16,146
2.0,17,199
2.0,18,331
2.0,19,86
2.0,20,123
2.0,21,0
2.0,22,0
2.0,23,0
2.0,24,0
2.0,25,0
2.0,26,0
2.0,27,0
2.0,28,0
2.0,29,0
2.0,30,0
2.0,31,0
5.0,1,0
5.0,2,0
5.0,3,0
5.0,4,0
5.0,5,0
5.0,6,0
5.0,7,4
5.0,8,377
5.0,9,248
5.0,10,59
5.0,11,95
5.0,12,99
5.0,13,156
5.0,14,140
5.0,15,153
5.0,16,179
5.0,17,227
5.0,18,647
5.0,19,169
5.0,20,117
5.0,21,3
5.0,22,0
5.0,23,0
5.0,24,0
5.0,25,0
5.0,26,0
5.0,27,0
5.0,28,0
5.0,29,0
5.0,30,0
5.0,31,0
10.0,1,0
10.0,2,0
10.0,3,0
10.0,4,0
10.0,5,0
10.0,6,0
10.0,7,0
10.0,8,57
10.0,9,110
10.0,10,24
10.0,11,31
10.0,12,21
10.0,13,73
10.0,14,23
10.0,15,24
10.0,16,21
10.0,17,30
10.0,18,251
10.0,19,91
10.0,20,18
10.0,21,20
10.0,22,5
10.0,23,0
10.0,24,0
10.0,25,0
10.0,26,0
10.0,27,0
10.0,28,0
10.0,29,0
10.0,30,0
10.0,31,0
20.0,1,0
20.0,2,0
20.0,3,0
20.0,4,0
20.0,5,0
20.0,6,0
20.0,7,0
20.0,8,56
20.0,9,249
20.0,10,6
20.0,11,21
20.0,12,15
20.0,13,41
20.0,14,10
20.0,15,8
20.0,16,18
20.0,17,14
20.0,18,141
20.0,19,101
20.0,20,34
20.0,21,1
20.0,22,0
20.0,23,0
20.0,24,0
20.0,25,0
20.0,26,0
20.0,27,0
20.0,28,0
20.0,29,0
20.0,30,0
20.0,31,0
30.0,1,0
30.0,2,0
30.0,3,0
30.0,4,0
30.0,5,0
30.0,6,0
30.0,7,0
30.0,8,14
30.0,9,81
30.0,10,2
30.0,11,3
30.0,12,0
30.0,13,1
30.0,14,0
30.0,15,0
30.0,16,0
30.0,17,0
30.0,18,208
30.0,19,0
30.0,20,0
30.0,21,5
30.0,22,0
30.0,23,0
30.0,24,0
30.0,25,0
30.0,26,0
30.0,27,0
30.0,28,0
30.0,29,0
30.0,30,0
30.0,31,0
60.0,1,0
60.0,2,0
60.0,3,0
60.0,4,0
60.0,5,0
60.0,6,0
60.0,7,0
60.0,8,1
60.0,9,73
60.0,10,2
60.0,11,5
60.0,12,3
60.0,13,3
60.0,14,0
60.0,15,1
60.0,16,0
60.0,17,0
60.0,18,91
60.0,19,0
60.0,20,0
60.0,21,0
60.0,22,0
60.0,23,0
60.0,24,0
60.0,25,0
60.0,26,0
60.0,27,0
60.0,28,0
60.0,29,0
60.0,30,0
60.0,31,0
60+,1,0
60+,2,0
60+,3,0
60+,4,0
60+,5,0
60+,6,0
60+,7,0
60+,8,0
60+,9,1
60+,10,0
60+,11,0
60+,12,0
60+,13,0
60+,14,0
60+,15,0
60+,16,0
60+,17,0
60+,18,0
60+,19,0
60+,20,0
60+,21,0
60+,22,0
60+,23,0
60+,24,0
60+,25,0
60+,26,0
60+,27,0
60+,28,0
60+,29,0
60+,30,0
60+,31,0
