timeBin,TAZ,avgWait,medianWait,numberOfPickups,avgPoolingDelay,numberOfPooledPickups
18,379.0,558.5,558.5,4,0,0
9,488.0,80.0,80.0,5,0,0
10,379.0,299.0,299.0,2,0,0
12,379.0,1246.0,1246.0,1,0,0
14,379.0,194.0,194.0,1,0,0
10,477.0,234.0,234.0,7,0,0
17,322.0,127.33333333333333,110.0,3,0,0
17,368.0,238.66666666666666,154.0,3,0,0
18,368.0,243.0,243.0,3,0,0
15,322.0,114.0,114.0,3,0,0
14,322.0,251.0,251.0,1,0,0
14,368.0,35.0,35.0,1,0,0
15,368.0,104.0,104.0,2,0,0
13,420.0,275.0,275.0,6,0,0
7,379.0,344.0,344.0,2,0,0
8,379.0,420.0,420.0,2,0,0
16,311.0,187.0,187.0,2,0,0
17,311.0,306.0,340.0,4,0,0
12,311.0,218.66666666666666,204.0,6,0,0
11,311.0,124.0,112.0,4,0,0
14,311.0,187.0,187.0,1,0,0
8,420.0,365.0,96.0,3,0,0
10,420.0,91.0,91.0,1,0,0
19,311.0,318.0,318.0,2,0,0
7,420.0,870.75,1116.0,4,0,0
7,368.0,104.0,104.0,1,0,0
8,368.0,102.5,102.5,2,0,0
10,248.0,610.0,610.0,2,0,0
16,346.0,135.63636363636363,149.0,11,0,0
16,300.0,181.78947368421052,184.0,19,0,0
15,346.0,317.0,317.0,1,0,0
18,300.0,184.0,184.0,4,0,0
17,300.0,401.6,399.0,10,0,0
12,346.0,100.0,100.0,1,0,0
12,300.0,206.0,184.0,13,0,0
11,346.0,179.0,179.0,1,0,0
11,300.0,398.4,374.0,5,0,0
14,300.0,283.85714285714283,184.0,14,0,0
13,300.0,184.0,184.0,1,0,0
20,346.0,230.0,230.0,3,0,0
19,346.0,100.0,100.0,1,0,0
18,346.0,100.0,100.0,6,0,0
17,346.0,271.0,259.5,10,0,0
8,311.0,200.0,200.0,1,0,0
10,311.0,140.0,140.0,4,0,0
15,335.0,51.333333333333336,51.0,3,0,0
16,335.0,61.45,53.0,20,0,0
13,335.0,51.0,51.0,4,0,0
14,335.0,58.25,60.0,4,0,0
11,335.0,70.0,60.0,9,0,0
9,335.0,201.33333333333334,204.0,3,0,0
19,335.0,79.5,64.0,20,0,0
17,335.0,125.65217391304348,82.0,23,0,0
18,335.0,64.0,64.0,2,0,0
14,479.0,1888.0,1888.0,1,0,0
15,479.0,440.05555555555554,218.0,18,0,0
12,479.0,1221.2857142857142,1080.0,7,0,0
10,479.0,1853.125,2732.5,8,0,0
11,479.0,775.8333333333334,232.0,12,0,0
8,479.0,1308.642857142857,1324.0,56,0,0
9,479.0,514.2631578947369,308.0,19,0,0
8,300.0,279.3333333333333,250.0,6,0,0
7,300.0,460.25,348.0,8,0,0
9,300.0,446.0,446.0,1,0,0
18,479.0,329.3157894736842,272.0,19,0,0
16,479.0,303.4375,154.0,16,0,0
17,479.0,619.0,348.0,10,0,0
15,324.0,108.0,108.0,4,0,0
13,324.0,274.5,276.0,14,0,0
11,324.0,85.0,85.0,1,0,0
12,324.0,47.0,47.0,1,0,0
6,479.0,276.0,276.0,2,0,0
7,479.0,491.5,490.0,4,0,0
8,433.0,572.0,572.0,1,0,0
17,324.0,232.0,177.0,3,0,0
18,324.0,60.333333333333336,48.0,3,0,0
16,422.0,202.0,202.0,1,0,0
17,422.0,375.5,234.0,8,0,0
10,422.0,401.5,401.5,2,0,0
13,422.0,235.0,235.0,3,0,0
7,335.0,200.0,200.0,1,0,0
8,335.0,168.5,64.0,4,0,0
18,422.0,478.0,478.0,3,0,0
12,359.0,226.0,226.0,2,0,0
11,359.0,82.66666666666667,100.0,3,0,0
10,359.0,54.875,48.0,40,0,0
8,359.0,215.0,198.0,3,0,0
7,422.0,312.0,312.0,2,0,0
9,422.0,202.0,202.0,1,0,0
19,359.0,88.0,88.0,4,0,0
17,359.0,192.0,156.0,4,0,0
16,359.0,152.0,152.0,1,0,0
7,324.0,108.0,108.0,1,0,0
8,324.0,141.5,149.0,4,0,0
14,302.0,83.57142857142857,73.0,7,0,0
14,348.0,158.0,158.0,4,0,0
16,302.0,98.0,85.0,4,0,0
10,348.0,74.0,74.0,47,0,0
9,302.0,56.0,56.0,8,0,0
8,348.0,109.25,74.0,4,0,0
12,302.0,68.0,68.0,12,0,0
7,348.0,179.0,179.0,1,0,0
11,302.0,56.0,56.0,1,0,0
19,348.0,73.0,73.0,2,0,0
18,302.0,83.71428571428571,68.0,7,0,0
18,348.0,180.0,180.0,2,0,0
17,348.0,173.6,160.0,5,0,0
17,302.0,242.5,242.5,2,0,0
16,348.0,62.0,62.0,8,0,0
19,302.0,317.0,317.0,2,0,0
13,446.0,216.0,268.0,3,0,0
12,446.0,209.6,234.0,5,0,0
15,446.0,232.0,232.0,6,0,0
8,446.0,446.0,489.0,6,0,0
7,231.0,806.0,1173.0,7,0,0
8,231.0,1652.875,1908.0,8,0,0
9,231.0,496.6666666666667,658.0,3,0,0
11,231.0,174.0,174.0,3,0,0
12,231.0,174.0,174.0,3,0,0
16,375.0,257.0,257.0,1,0,0
8,340.0,304.0,304.0,1,0,0
7,340.0,348.0,348.0,2,0,0
19,409.0,135.2,132.0,5,0,0
18,409.0,150.0,124.0,6,0,0
17,409.0,200.5344827586207,138.0,58,0,0
14,364.0,84.0,84.0,1,0,0
17,364.0,44.0,44.0,3,0,0
19,364.0,82.0,82.0,2,0,0
20,462.0,693.0,693.0,1,0,0
21,462.0,461.0,461.0,5,0,0
7,375.0,239.5,239.5,2,0,0
18,462.0,379.10377358490564,307.0,106,0,0
8,375.0,330.5,330.5,4,0,0
19,462.0,214.0909090909091,58.0,33,0,0
8,409.0,232.0,283.5,6,0,0
16,462.0,219.56521739130434,298.0,23,0,0
7,409.0,209.25,221.5,8,0,0
