modeChosen, alternativesAvailable, numberOfTimes
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT, 14
walk, WALK:CAR, 4
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 213
walk, RIDE_HAIL:WALK:DRIVE_TRANSIT, 5
drive_transit, WALK:CAR:DRIVE_TRANSIT, 5
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 1
drive_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 2
walk, , 149
walk, WALK, 16994
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 1
drive_transit, DRIVE_TRANSIT, 28
drive_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 128
ride_hail, RIDE_HAIL:WALK:CAR, 25
walk, RIDE_HAIL:WALK, 13
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 39
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:CAR:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 2
ride_hail, RIDE_HAIL:WALK, 17
walk_transit, RIDE_HAIL:CAR:WALK_TRANSIT:WALK, 1
walk_transit, RIDE_HAIL:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 2
drive_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 1
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 9
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 357
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 27
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT, 17
ride_hail, RIDE_HAIL, 6189
drive_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:DRIVE_TRANSIT:WALK_TRANSIT, 1
drive_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 99
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 42
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 18
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 305
drive_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 2
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT, 71
walk, RIDE_HAIL:WALK:CAR, 24
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 29
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 2
walk_transit, WALK_TRANSIT, 34662
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 50
