hour,numPassengers,vkt
6,0,1631.1439999999998
6,1,0.0
7,0,175474.8439999994
7,1,1102328.7279999997
8,0,1053738.1660000002
8,1,3789557.877000002
9,0,171456.50000000015
9,1,1818691.3879999977
10,0,73966.43000000002
10,1,879628.7769999994
11,0,134131.2180000001
11,1,1024163.9260000011
12,0,135923.05599999998
12,1,1652123.8100000017
13,0,81778.32999999989
13,1,940390.4389999993
14,0,80307.59199999982
14,1,1184537.1860000005
15,0,120938.09900000018
15,1,1282625.5320000001
16,0,181443.63900000046
16,1,1912979.3860000009
17,0,665548.7269999989
17,1,4505632.553000009
18,0,930775.7030000031
18,1,5600802.900999989
19,0,56900.84000000002
19,1,2173305.4889999935
20,0,39666.86000000003
20,1,1049558.814
21,0,815.844
21,1,58272.276
