TazId,DataType,Value,Hour
205.0,pricelevel,1.0,1
205.0,revenue,0.0,1
205.0,pricelevel,1.0,2
205.0,revenue,0.0,2
205.0,pricelevel,1.0,3
205.0,revenue,0.0,3
205.0,pricelevel,1.0,4
205.0,revenue,0.0,4
205.0,pricelevel,1.0,5
205.0,revenue,0.0,5
205.0,pricelevel,1.0,6
205.0,revenue,0.0,6
205.0,pricelevel,1.0,7
205.0,revenue,0.0,7
205.0,pricelevel,1.0,8
205.0,revenue,0.0,8
205.0,pricelevel,1.0,9
205.0,revenue,0.0,9
205.0,pricelevel,1.0,10
205.0,revenue,0.0,10
205.0,pricelevel,1.0,11
205.0,revenue,0.0,11
205.0,pricelevel,1.0,12
205.0,revenue,0.0,12
205.0,pricelevel,1.0,13
205.0,revenue,0.0,13
205.0,pricelevel,1.0,14
205.0,revenue,0.0,14
205.0,pricelevel,1.0,15
205.0,revenue,0.0,15
205.0,pricelevel,1.0,16
205.0,revenue,0.0,16
205.0,pricelevel,1.0,17
205.0,revenue,0.0,17
205.0,pricelevel,1.0,18
205.0,revenue,0.0,18
205.0,pricelevel,1.0,19
205.0,revenue,0.0,19
205.0,pricelevel,1.0,20
205.0,revenue,0.0,20
205.0,pricelevel,1.0,21
205.0,revenue,0.0,21
205.0,pricelevel,1.0,22
205.0,revenue,0.0,22
205.0,pricelevel,1.0,23
205.0,revenue,0.0,23
205.0,pricelevel,1.0,24
205.0,revenue,0.0,24
205.0,pricelevel,1.0,25
205.0,revenue,0.0,25
205.0,pricelevel,1.0,26
205.0,revenue,0.0,26
205.0,pricelevel,1.0,27
205.0,revenue,0.0,27
205.0,pricelevel,1.0,28
205.0,revenue,0.0,28
205.0,pricelevel,1.0,29
205.0,revenue,0.0,29
205.0,pricelevel,1.0,30
205.0,revenue,0.0,30
205.0,pricelevel,1.0,31
205.0,revenue,0.0,31
210.0,pricelevel,1.0,1
210.0,revenue,0.0,1
210.0,pricelevel,1.0,2
210.0,revenue,0.0,2
210.0,pricelevel,1.0,3
210.0,revenue,0.0,3
210.0,pricelevel,1.0,4
210.0,revenue,0.0,4
210.0,pricelevel,1.0,5
210.0,revenue,0.0,5
210.0,pricelevel,1.0,6
210.0,revenue,0.0,6
210.0,pricelevel,1.0,7
210.0,revenue,0.0,7
210.0,pricelevel,1.0,8
210.0,revenue,0.0,8
210.0,pricelevel,1.0,9
210.0,revenue,0.0,9
210.0,pricelevel,1.0,10
210.0,revenue,0.0,10
210.0,pricelevel,1.0,11
210.0,revenue,0.0,11
210.0,pricelevel,1.0,12
210.0,revenue,0.0,12
210.0,pricelevel,1.0,13
210.0,revenue,0.0,13
210.0,pricelevel,1.0,14
210.0,revenue,0.0,14
210.0,pricelevel,1.0,15
210.0,revenue,0.0,15
210.0,pricelevel,1.0,16
210.0,revenue,0.0,16
210.0,pricelevel,1.0,17
210.0,revenue,0.0,17
210.0,pricelevel,1.0,18
210.0,revenue,0.0,18
210.0,pricelevel,1.0,19
210.0,revenue,0.0,19
210.0,pricelevel,1.0,20
210.0,revenue,0.0,20
210.0,pricelevel,1.0,21
210.0,revenue,0.0,21
210.0,pricelevel,1.0,22
