rideHailAgentID,xCoord,yCoord
rideHailAgent-700-2015001219743-1118449,683337.9695833385,4825991.343442889
rideHailAgent-600-2014000987574-081438,683148.6850872209,4823134.607270037
rideHailAgent-1803-2015001491257-0123661,682531.9446467318,4820455.556517676
rideHailAgent-1101-2016001157571-1149879,681251.2478762851,4819517.097021368
rideHailAgent-1803-2014001362907-090303,686471.3331279643,4821148.215870328
rideHailAgent-10104-2012000266314-05333,681035.7256703053,4822327.295671569
rideHailAgent-1105-2013000686468-046640,680068.334321909,4820635.621484641
rideHailAgent-1200-2013000914558-150133,683217.3348219369,4820917.644013227
rideHailAgent-10104-2012000587835-111792,684459.5280528143,4824205.828947982
rideHailAgent-1105-2016000836708-1144808,678482.4727284298,4819629.754779915
rideHailAgent-1105-2016000628571-0139642,681505.6575412055,4821004.01725986
rideHailAgent-201-2015000306203-097134,683771.470936769,4823780.102570129
rideHailAgent-10104-2012001237108-024171,683962.8583510655,4818719.472153751
rideHailAgent-300-2016000715950-0141952,684779.7694726387,4828259.939319085
rideHailAgent-1106-2016001519410-2157844,679778.3843054906,4821357.252257891
rideHailAgent-1105-2016001232300-1152520,678775.4485133063,4819372.257817819
rideHailAgent-1901-2012001173951-023666,684276.8972146735,4820403.843278564
rideHailAgent-10102-2015001324443-0121320,680155.8918029591,4821019.873754266
rideHailAgent-407-2013001153397-054148,687224.9846023559,4823834.717736397
rideHailAgent-10405-2015000391769-098513,684195.7921676749,4824990.381270019
rideHailAgent-1500-2016000250854-1130529,683373.1484523257,4821625.6906654965
rideHailAgent-405-2016000482844-0136176,686300.8964811681,4824409.463921711
rideHailAgent-1803-2014000479678-171290,682539.8372579274,4822834.45572683
rideHailAgent-300-2015001504336-0124166,684825.9268287888,4825012.761377402
rideHailAgent-1101-2016001223046-1151848,679984.8833821713,4820933.583077352
rideHailAgent-202-2012000584680-011648,680686.0610980365,4824338.342946558
rideHailAgent-700-2015000981503-0113762,684676.2100803915,4825821.617517198
rideHailAgent-407-2014000053367-062071,687033.6452337862,4823024.492898952
rideHailAgent-202-2014001002756-082028,680208.174703688,4825705.031396524
rideHailAgent-10104-2016000471794-0135474,682247.0258050497,4821267.355979018
rideHailAgent-1902-2012000065514-01052,685457.9709470349,4820385.3840630045
rideHailAgent-700-2016000250854-0130588,683235.0908016682,4823750.0782290585
rideHailAgent-10102-2014000221274-066341,679991.9979801358,4821654.126157414
rideHailAgent-700-2016000086561-0126847,684931.9634732205,4824634.020713787
rideHailAgent-1500-2015001443628-0123256,683363.9587188314,4820675.298531138
rideHailAgent-1101-2016001518968-0157794,681542.6630984845,4821139.232437104
rideHailAgent-405-2013001274069-056993,686122.3070699909,4825988.234041149
rideHailAgent-1902-2016000264178-0131039,685959.2259784869,4818953.646181946
rideHailAgent-1801-2013000365328-038294,682121.5334024621,4820341.708261928
rideHailAgent-1902-2014000987574-081496,686190.4242268719,4818795.872883109
rideHailAgent-10104-2016000988089-0147625,683523.1209559999,4820447.917478723
rideHailAgent-10104-2016000456810-1135281,684561.2252956217,4818909.636148255
rideHailAgent-1106-2015001360314-0121793,678340.571348804,4820652.11062397
rideHailAgent-700-2015000981503-0113669,683128.1433550906,4820771.985533559
rideHailAgent-407-2016000116811-1127563,684304.9218035454,4823884.58183958
rideHailAgent-401-2015000292529-096856,684779.2444965862,4824285.424985784
rideHailAgent-1804-2016000559873-1138440,683071.0610225345,4820562.367784576
rideHailAgent-1106-2013000539556-043473,678705.887070431,4822028.012317898
rideHailAgent-1001-2014000532744-072681,681003.7343910772,4823599.3694944
rideHailAgent-500-2014000947834-080547,686675.6269939418,4824811.801606497
rideHailAgent-700-2013000914558-050176,685047.4136405484,4824143.546076809
rideHailAgent-1700-2016000116811-0127621,686098.9443682097,4822229.2380154
rideHailAgent-1804-2013000359041-238166,682090.4537363646,4819839.202073112
rideHailAgent-406-2012000963809-118990,686318.4858689224,4823699.807038477
rideHailAgent-1101-2014000072178-062697,679232.7386491784,4821990.573511545
rideHailAgent-10103-2012001333257-026180,683146.8740068594,4820400.013425473
rideHailAgent-10102-2014000432785-070079,679198.4711499173,4819529.936881984
rideHailAgent-1107-2012001287756-025034,679938.4295861132,4821588.597091875
rideHailAgent-1200-2015000203687-094962,680393.1852074012,4823399.1426742915
rideHailAgent-10102-2016000471794-1135687,681687.2348289818,4823455.757275596
rideHailAgent-401-2012000353261-06802,684301.5473044645,4824443.802672509
rideHailAgent-1902-2016001407958-1154526,683427.3464801407,4820718.919417627
rideHailAgent-900-2014001394187-090678,680947.7641048103,4825804.624938178
rideHailAgent-1901-2016000155763-0128371,684437.8383544226,4821280.998210055
rideHailAgent-10104-2016000055939-2125937,683290.7536988956,4819527.365648652
