hours,0,1-3,4-6,7-9,10-12
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,17.0,0.0,0.0,0.0,0.0
7,1379.0,7.0,0.0,0.0,0.0
8,1360.0,358.0,203.0,1.0,0.0
9,232.0,451.0,1224.0,41.0,0.0
10,506.0,493.0,913.0,23.0,0.0
11,472.0,545.0,636.0,11.0,0.0
12,246.0,431.0,723.0,19.0,0.0
13,215.0,472.0,720.0,12.0,0.0
14,288.0,434.0,676.0,21.0,0.0
15,243.0,454.0,692.0,30.0,0.0
16,266.0,543.0,590.0,20.0,0.0
17,266.0,451.0,691.0,11.0,0.0
18,194.0,476.0,996.0,24.0,0.0
19,341.0,545.0,1026.0,23.0,0.0
20,781.0,709.0,428.0,0.0,0.0
21,982.0,433.0,206.0,0.0,0.0
22,1223.0,133.0,20.0,0.0,0.0
23,299.0,5.0,0.0,0.0,0.0
