linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
100.00000000000126,100,14
100.00000000000125,100,29
100.0000000000013,100,9
94.22000315298776,94,1
100.00000000000131,100,1
100.00000000000135,100,4
100.00000000000134,100,5
100.00000000000115,100,16
100.00000000000114,100,29
100.00000000000118,100,7
100.0000000000012,100,46
100.00000000000122,100,7
100.00000000000104,100,7
100.00000000000102,100,1
76.9390454527975,77,1
100.00000000000107,100,5
100.0000000000011,100,3
5.586931667371677,6,1
21.927807796806942,22,1
100.00000000000111,100,18
100.00000000000091,100,13
100.00000000000095,100,9
100.00000000000094,100,5
100.00000000000098,100,1
42.56327482262701,43,1
100.000000000001,100,4
100.0000000000017,100,25
100.00000000000175,100,1
100.00000000000173,100,3
74.94517570756688,75,1
100.00000000000178,100,8
100.0000000000018,100,11
98.9715385899704,99,1
43.36095698863391,43,1
1.1269071407032374,1,1
100.00000000000162,100,7
100.00000000000166,100,7
100.00000000000165,100,5
100.00000000000169,100,1
100.00000000000149,100,2
50.807192480399685,51,1
98.14862722514285,98,1
100.0000000000015,100,1
100.00000000000155,100,36
100.00000000000153,100,7
5.237186209699721,5,1
100.00000000000158,100,3
100.00000000000138,100,4
100.00000000000139,100,4
99.99999999988499,100,1
100.00000000000142,100,5
100.00000000000146,100,7
100.00000000000145,100,8
100.00000000000036,100,7
2.9295379873932705,3,1
100.00000000000038,100,10
19.86450418677882,20,1
100.0000000000004,100,16
60.160308544074766,60,1
100.00000000000044,100,4
100.00000000000043,100,1
100.00000000000024,100,1
100.00000000000023,100,18
100.00000000000027,100,8
97.43455130331716,97,1
100.00000000000033,100,1
100.00000000000031,100,12
100.00000000000013,100,9
100.00000000000011,100,3
1.4140530219165115,1,1
100.00000000000016,100,3
100.00000000000017,100,8
100.0000000000002,100,20
100.0,100,152746
100.00000000000003,100,8015
100.00000000000007,100,7
100.00000000000009,100,1
100.0000000000008,100,19
100.00000000000084,100,11
100.00000000000082,100,5
100.00000000000087,100,4
100.00000000000088,100,6
88.97961458412415,89,1
98.58986579484744,99,1
100.00000000000068,100,13
100.00000000000071,100,1
41.33742972885129,41,1
100.00000000000075,100,17
100.00000000000074,100,3
23.792539012207765,24,1
100.00000000000078,100,5
100.00000000000058,100,3
100.0000000000006,100,6
100.00000000000064,100,23
100.00000000000063,100,4
100.00000000000067,100,5
1.3484792223115494,1,1
100.00000000000047,100,2
100.00000000000048,100,29
6.661190514010093,7,1
100.00000000000051,100,3
6.591932620979497,7,1
100.00000000000055,100,16
100.00000000000054,100,8
100.00000000000307,100,5
2.6692963881699434,3,1
68.67656247541589,69,1
1.0902253364139192,1,1
100.00000000000313,100,2
100.00000000000317,100,6
100.00000000000315,100,3
100.00000000000297,100,1
100.00000000000296,100,19
100.000000000003,100,6
100.00000000000304,100,1
100.00000000000284,100,13
100.00000000000288,100,2
100.00000000000287,100,11
100.00000000000291,100,15
100.00000000000293,100,8
100.00000000000273,100,1
100.00000000000277,100,8
100.00000000000276,100,5
100.0000000000028,100,6
100.00000000000281,100,4
100.00000000000352,100,2
100.00000000000355,100,3
100.0000000000036,100,50
100.00000000000358,100,5
100.00000000000362,100,8
100.00000000000342,100,11
100.00000000000348,100,12
100.00000000000347,100,2
100.00000000000351,100,8
1.0674843143027377,1,1
100.00000000000331,100,4
100.00000000000333,100,8
100.00000000000335,100,1
100.0000000000034,100,25
100.00000000000338,100,10
100.00000000000323,100,2
92.1470385150669,92,1
0.4186366185155605,0,1
100.00000000000324,100,27
100.00000000000327,100,19
100.00000000000217,100,13
100.00000000000216,100,6
100.0000000000022,100,2
100.00000000000222,100,20
99.99999999988582,100,2
100.00000000000226,100,4
100.00000000000225,100,25
0.1659290255246271,0,1
100.00000000000206,100,5
100.00000000000205,100,3
91.35051913111684,91,1
100.00000000000209,100,4
100.0000000000021,100,2
100.00000000000213,100,25
3.8934047024513587,4,1
100.00000000000193,100,6
100.00000000000198,100,7
100.00000000000196,100,7
100.000000000002,100,8
71.72131356462687,72,1
100.00000000000202,100,27
100.00000000000182,100,5
100.00000000000186,100,6
100.00000000000189,100,2
100.0000000000019,100,15
10.765034789963746,11,1
100.00000000000261,100,20
100.00000000000264,100,10
100.00000000000269,100,3
100.00000000000267,100,23
100.00000000000271,100,18
94.52128873559762,95,1
99.99999999988611,100,4
100.00000000000253,100,12
100.00000000000257,100,9
100.00000000000256,100,5
100.0000000000026,100,5
100.0000000000024,100,8
100.00000000000242,100,4
100.00000000000246,100,14
100.00000000000244,100,6
19.526438449201635,20,1
100.00000000000249,100,7
100.00000000000229,100,5
98.6428005281389,99,1
100.0000000000023,100,2
100.00000000000233,100,32
100.00000000000237,100,24
100.00000000000236,100,18
100.00000000000493,100,18
100.00000000000495,100,1
100.00000000000497,100,2
4.287078911338424,4,1
100.0000000000048,100,6
35.21174357119076,35,1
100.00000000000485,100,1
100.00000000000486,100,8
100.00000000000466,100,7
100.0000000000047,100,1
100.00000000000469,100,17
100.00000000000473,100,10
100.00000000000455,100,4
100.00000000000459,100,2
100.00000000000458,100,1
100.00000000000462,100,5
100.00000000000465,100,11
100.00000000000536,100,4
100.00000000000541,100,2
100.0000000000054,100,3
100.00000000000544,100,4
100.00000000000524,100,2
100.00000000000526,100,15
100.0000000000053,100,17
100.00000000000529,100,6
100.00000000000533,100,15
93.21920911994968,93,1
100.00000000000513,100,3
100.00000000000514,100,8
100.00000000000517,100,1
0.28352695757068924,0,1
1.7938330963038678,2,1
100.00000000000522,100,23
100.0000000000052,100,13
3.3337665745209364,3,1
100.00000000000502,100,9
100.000000000005,100,17
100.00000000000504,100,4
100.00000000000506,100,1
100.0000000000051,100,8
100.00000000000509,100,8
100.00000000000398,100,7
100.00000000000402,100,31
21.5383789681915,22,1
100.00000000000404,100,3
71.5372970982577,72,1
100.00000000000406,100,3
100.00000000000388,100,34
100.00000000000387,100,2
95.84613417423967,96,1
96.52626465243998,97,1
100.00000000000391,100,6
0.2485479591783316,0,1
100.00000000000395,100,17
2.8730036397809817,3,1
100.00000000000375,100,1
100.0000000000038,100,16
100.00000000000378,100,2
3.9256389010180146,4,1
100.00000000000382,100,10
7.039601698827198,7,1
8.064938481255728,8,1
1.1791374248709479,1,1
100.00000000000384,100,7
100.00000000000364,100,3
100.00000000000368,100,8
100.00000000000367,100,2
2.636498416335316,3,1
94.77071548378198,95,1
100.00000000000372,100,11
100.0000000000045,100,2
95.67811658679159,96,1
100.00000000000433,100,1
100.00000000000435,100,3
100.00000000000439,100,11
100.00000000000438,100,2
95.58454475706904,96,1
100.00000000012083,100,1
87.52998512519994,88,1
100.00000000000422,100,4
100.00000000000423,100,3
100.00000000000426,100,6
6.059322632110622,6,1
100.0000000000043,100,17
100.0000000000041,100,2
85.96995468299406,86,1
0.7678425597906621,1,1
100.00000000000414,100,11
42.646046141716134,43,1
0.9530428564856466,1,1
100.00000000000419,100,2
99.99999999988776,100,1
100.00000000000418,100,6
11.422828553827541,11,1
100.00000000000671,100,2
100.00000000000675,100,7
0.2800088055827297,0,1
100.00000000000678,100,16
92.74647459883813,93,1
100.0000000000066,100,2
100.00000000000664,100,2
100.00000000000662,100,3
100.00000000000666,100,1
100.00000000000668,100,10
97.24841191406166,97,1
100.00000000000648,100,3
100.00000000000652,100,6
33.06524568758678,33,1
86.51958636697843,87,1
0.6279579296268643,1,1
100.00000000000655,100,4
100.00000000000657,100,1
0.8979925692659537,1,4
98.60501382027215,99,1
100.00000000000637,100,2
100.0000000000064,100,7
100.00000000000644,100,1
100.00000000000642,100,14
100.00000000000647,100,7
100.00000000000718,100,11
100.00000000000719,100,20
100.00000000000723,100,4
100.00000000000726,100,1
100.00000000000706,100,2
100.00000000000708,100,1
3.7925598972526857,4,1
100.0000000000071,100,3
100.00000000000715,100,18
52.60490534298382,53,1
100.00000000000713,100,9
100.00000000000693,100,16
100.00000000000698,100,4
100.00000000000699,100,1
100.00000000000703,100,1
100.00000000000702,100,7
100.00000000000684,100,2
100.00000000000682,100,3
100.00000000000688,100,3
100.0000000000069,100,5
100.00000000000581,100,3
100.0000000000058,100,15
100.00000000000584,100,17
85.17209619652327,85,1
52.93705367787609,53,1
92.92190577635311,93,1
100.00000000000588,100,18
100.00000000000568,100,2
100.00000000000573,100,3
84.64925023258834,85,1
100.00000000000571,100,1
100.00000000000576,100,7
96.6300081852973,97,1
100.00000000000577,100,3
100.00000000000557,100,11
100.0000000000056,100,5
100.00000000000564,100,2
80.81938954101187,81,1
100.00000000000566,100,5
100.00000000000546,100,20
