Bin,AverageLinkSpeed
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,99.99999999999997
8,99.25299805277132
9,99.32149078225298
10,99.61749708916831
11,99.62332766200996
12,99.6079006709892
13,99.67562043628173
14,99.86070067990094
15,99.87513912908005
16,99.6984782227282
17,99.49341800802844
18,97.9453628236471
19,98.61972233504177
20,98.8512512440184
21,98.89979776462155
22,98.96809176067497
23,99.05492087249027
24,99.15138710018365
25,99.2520687960957
26,99.23531568853025
27,99.50880598086506
28,99.68772753797126
29,99.80684793199039
30,100.0
