Iteration,Accessibility: number of secondary locations accessible by car within 15 minutes,Accessibility: number of secondary locations accessible by transit within 15 minutes,Accessibility: number of work locations accessible by car within 15 minutes,Accessibility: number of work locations accessible by transit within 15 minutes,Congestion: average vehicle delay per passenger trip,Equity: average travel cost burden -  secondary,Equity: average travel cost burden - work,Level of service: average bus crowding experienced,Level of service: costs and benefits,Sustainability: Total grams GHGe Emissions,Sustainability: Total grams PM 2.5 Emitted
0,1.0,1.0,1.0,1.0,0.015916968187380674,3.307352533736124,1.3524571884339072,1.2499853089141721,0.22162726711618716,0.4530093163682753,0.0
1,0.8472598543353653,0.9436720485531479,0.987142905649963,0.9511795725982501,0.1766978278219031,4.071853051264323,1.6314758939617595,1.230474090659689,0.2219935741865843,0.4589728524440684,0.0
2,1.0,1.0,1.0,1.0,0.11893057221892063,3.738511877122827,1.6056498933002825,1.236649979155358,0.22160024516139207,0.45792437191922436,0.0
3,1.0,1.0,1.0,1.0,0.17296733760845934,7.283083999542044,1.5393783187991592,1.2345274911160937,0.2219142761240776,0.4589695343203862,0.0
4,1.0,1.0,1.0,1.0,0.31298336662762566,3.8586878239539137,1.6036174840374304,1.238662763461309,0.22196786718645695,0.46030475805169085,0.0
5,1.0,1.0,1.0,1.0,0.10635499815195759,3.612805422864206,1.5729068120008132,1.2313046938315206,0.2214028784442814,0.44560490601057073,0.0
6,1.0,1.0,1.0,1.0,0.11352042212593574,3.78876126753983,1.5716843535086822,1.234694879814761,0.22148965381618843,0.4484293456359283,0.0
7,1.0,1.0,1.0,1.0,0.18445694184070058,4.202447911560132,1.614401454955257,1.2394124829075759,0.22146233556769476,0.4502024169718181,0.0
8,1.0,1.0,1.0,1.0,0.18794041394208919,3.9757984414320497,1.5139979401210766,1.2332481496355145,0.2213056662552079,0.4452065633591916,0.0
9,1.0,1.0,1.0,1.0,0.0864528384484323,3.8995383940989594,1.5417154896847574,1.2350847565988732,0.22129184119883524,0.44253944791796046,0.0
10,0.8432954139307689,0.9436720485531479,0.9849470400517113,0.9511795725982501,0.11284116371166968,3.787918463477585,1.4207962093240771,1.2346946099008456,0.221160828038544,0.4449480059440784,0.0
