iterations,bike,car,drive_transit,ride_hail,ride_hail_pooled,ride_hail_transit,walk,walk_transit
benchmark,0.0,79.99999999999999,2.9999999999999996,6.599999999999999,0.0,1.9999999999999996,3.999999999999999,4.399999999999999
0,0,0,0.139427841892187,11.386047136689681,0,0,28.468477548757747,60.006047472660384
1,0,0,0.06869858078785543,10.84097116335182,0,0,28.923778086828303,60.16655216903202
2,0,0,0.06716593343855996,10.793565503576586,0,0,28.950196460355308,60.189072102629545
3,0,0,0.06541538771197102,10.649289655982153,0,0,29.074623861520656,60.21067109478522
4,0,0,0.06857792794299669,10.179640718562874,0,0,29.403204763657044,60.34857658983709
5,0,0,0.061931941817451416,10.091558843713909,0,0,29.48629965016822,60.36020956430042
6,0,0,0.05687330634639189,9.989628985313304,0,0,29.55237362416781,60.401124084172494
7,0,0,0.06180056789711041,9.719392016034742,0,0,29.784533155169534,60.43427426089861
8,0,0,0.05676126878130217,9.666110183639399,0,0,29.76794657762938,60.509181969949914
9,0,0,0.06007008176205573,9.571166360754214,0,0,29.87819122309361,60.49057233439012
10,0,0,0.0585000585000585,9.62743819886677,0,0,29.796586939444083,60.51747480318909
