Iteration,onDemandRideRevenue,averageOnDemandRideWaitingTimeInSeconds,totalOnDemandRideWaitingTimeInSeconds,passengerVKT,repositioningVKT,deadHeadingVKT,averageSurgePriceLevel,maxSurgePriceLevel,reservationCount
0,76117.41211596296,3.6884069871603073,24704.94999999974,28553.364808999948,0.0,3330.955560000005,1.0,1.0,6698
1,85818.8851986674,6.548439136811236,41674.26666666671,27973.786682,0.0,4375.072119000007,1.0,1.0,6364
2,82264.26106834017,5.075977406424077,32501.483333333363,29369.657501999976,0.0,3553.9384459999974,1.0,1.0,6403
3,83052.61975608562,6.411874207858057,40471.75000000006,28974.599081999993,0.0,3904.496992000002,1.0,1.0,6312
4,87741.24470889624,7.147182749504277,43254.74999999988,28089.587197000008,0.0,4415.468075999997,1.0,1.0,6052
5,72921.46059849094,4.708637347992659,28265.94999999993,26185.590212,0.0,2647.2195710000033,1.0,1.0,6003
6,75441.59164920522,4.803804165267019,28601.84999999983,26197.83295299997,0.0,3043.565365,1.0,1.0,5954
7,76626.09957010833,5.664291472332575,32790.58333333328,25960.09747499999,0.0,3240.563326000002,1.0,1.0,5789
8,73890.30125729056,5.1218075565584185,29506.73333333305,25156.101988999973,0.0,3313.897786999998,1.0,1.0,5761
9,68471.37462686648,4.7949130789873164,27398.133333333528,24699.46022599997,0.0,3220.6896780000056,1.0,1.0,5714
10,70721.97237013273,4.374905616541728,25107.583333332976,25633.869344999977,0.0,2979.409655000008,1.0,1.0,5739
