ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-30.235392269779332	-30.235392269779332	-30.235392269779332	-30.235392269779332
1	-32.28272019386328	-32.44656399668447	-32.10152317045941	-31.75648234423452
2	-31.51768081764189	-32.2296627873304	-31.676810202844468	-31.112726597866736
3	-31.942959713932435	-32.86388847380913	-32.15032378921069	-31.430975477505672
4	-32.8527118280902	-34.004830240172076	-32.96074294497422	-31.913437095926874
5	-31.179890829032324	-33.592052766239824	-32.18136612527569	-30.75671399056238
6	-31.554718798257756	-33.95706297014494	-32.48715409499252	-31.003997783446806
7	-32.00667865873452	-34.28648898298615	-32.8220094494104	-31.3187859242169
8	-31.701268138296065	-34.45052598272226	-32.82978613977108	-31.142989662296095
9	-31.185427565019392	-34.41409944556936	-32.63533740268563	-30.76599523432152
10	-31.25328363864879	-34.519133058290315	-32.674385577937876	-30.73889218301222
