Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	11:17:36	11:17:36	11:17:37			11:17:37	11:17:37	11:17:37	11:17:37	11:17:37	11:23:00	11:23:00	11:23:00	11:23:00	11:23:02	11:23:02	11:23:26	11:23:26		00:00:01		00:00:00	00:00:00	00:05:22	00:00:00	00:00:02	00:00:23	00:05:50
1	11:23:26	11:23:26	11:23:27	11:23:27	11:23:27	11:23:27	11:23:27	11:23:28	11:23:28	11:23:28	11:26:39	11:26:39	11:26:39	11:26:39	11:26:41	11:26:41	11:35:13	11:35:13		00:00:00	00:00:00	00:00:00	00:00:00	00:03:11	00:00:00	00:00:01	00:08:31	00:11:46
2	11:35:13	11:35:13	11:35:13	11:35:13	11:35:14	11:35:14	11:35:14	11:35:15	11:35:15	11:35:15	11:38:15	11:38:15	11:38:15	11:38:15	11:38:17	11:38:17	11:38:35	11:38:35		00:00:00	00:00:00	00:00:00	00:00:00	00:03:00	00:00:00	00:00:01	00:00:17	00:03:22
3	11:38:35	11:38:35	11:38:35	11:38:35	11:38:36	11:38:36	11:38:36	11:38:36	11:38:36	11:38:36	11:41:32	11:41:32	11:41:32	11:41:32	11:41:35	11:41:35	11:41:52	11:41:52		00:00:00	00:00:00	00:00:00	00:00:00	00:02:55	00:00:00	00:00:02	00:00:17	00:03:16
4	11:41:52	11:41:52	11:41:52	11:41:52	11:41:53	11:41:53	11:41:53	11:41:54	11:41:54	11:41:54	11:44:53	11:44:53	11:44:53	11:44:53	11:44:59	11:44:59	11:45:21	11:45:21		00:00:00	00:00:00	00:00:01	00:00:01	00:02:59	00:00:00	00:00:06	00:00:21	00:03:28
5	11:45:21	11:45:21	11:45:21	11:45:21	11:45:22	11:45:22	11:45:22	11:45:23	11:45:23	11:45:23	11:48:19	11:48:19	11:48:19	11:48:19	11:48:21	11:48:21	11:48:39	11:48:39		00:00:00	00:00:00	00:00:01	00:00:01	00:02:56	00:00:00	00:00:01	00:00:17	00:03:17
6	11:48:39	11:48:39	11:48:39	11:48:39	11:48:39	11:48:39	11:48:39	11:48:41	11:48:41	11:48:41	11:51:33	11:51:33	11:51:33	11:51:33	11:51:34	11:51:34	11:51:52	11:51:52		00:00:00	00:00:00	00:00:01	00:00:01	00:02:52	00:00:00	00:00:01	00:00:17	00:03:13
7	11:51:52	11:51:52	11:51:52	11:51:52	11:51:53	11:51:53	11:51:53	11:51:54	11:51:54	11:51:54	11:54:59	11:54:59	11:54:59	11:54:59	11:55:00	11:55:00	11:55:21	11:55:21		00:00:00	00:00:00	00:00:01	00:00:01	00:03:04	00:00:00	00:00:01	00:00:20	00:03:28
8	11:55:21	11:55:21	11:55:21	11:55:21	11:55:21	11:55:21	11:55:21	11:55:23	11:55:23	11:55:23	11:58:17	11:58:17	11:58:17	11:58:17	11:58:18	11:58:18	11:58:38	11:58:38		00:00:00	00:00:00	00:00:01	00:00:01	00:02:54	00:00:00	00:00:01	00:00:20	00:03:17
9	11:58:39	11:58:39	11:58:39	11:58:39	11:58:39	11:58:39	11:58:39	11:58:40	11:58:41	11:58:41	12:01:26	12:01:26	12:01:26	12:01:26	12:01:27	12:01:27	12:01:53	12:01:53		00:00:00	00:00:00	00:00:01	00:00:01	00:02:45	00:00:00	00:00:01	00:00:25	00:03:14
10	12:01:53	12:01:53	12:01:54	12:01:54	12:01:54	12:01:54	12:01:54	12:01:55	12:01:55	12:01:55	12:04:41	12:04:41	12:04:41	12:04:41	12:04:42	12:04:42	12:09:29	12:09:29		00:00:00	00:00:00	00:00:01	00:00:01	00:02:45	00:00:00	00:00:01	00:04:47	00:07:36
