Iteration,RHSummary_deadheadingPerRideHailTrips,RHSummary_multiPassengerTripsPerPoolTrips,RHSummary_multiPassengerTripsPerRideHailTrips,RHSummary_unmatchedPerRideHailRequests,RideTripsWith0Passengers,RideTripsWith1Passengers,agentHoursOnCrowdedTransit,averageMTWaitingTimeInSec,averageOnDemandRideWaitTimeInMin,averageTripExpenditure,averageTripExpenditure_Home,averageTripExpenditure_Secondary,averageTripExpenditure_Work,averageVehicleDelayPerMotorizedLeg_home,averageVehicleDelayPerMotorizedLeg_secondary,averageVehicleDelayPerMotorizedLeg_work,averageVehicleDelayPerPassengerTrip,averagekWhPerDriver_CAV,averagekWhPerDriver_Human,busCrowding,chargingCountPerDriver_CAV,chargingCountPerDriver_Human,fuelConsumedInMJ_Diesel,fuelConsumedInMJ_Electricity,fuelConsumedInMJ_Food,fuelConsumedInMJ_Gasoline,personTravelTime_drive_transit,personTravelTime_mixed_mode,personTravelTime_onDemandRide,personTravelTime_walk,personTravelTime_walk_transit,tollRevenue,totalCost_bike,totalCost_car,totalCost_cav,totalCost_drive_transit,totalCost_onDemandRide,totalCost_onDemandRide_pooled,totalCost_onDemandRide_transit,totalCost_transit,totalCost_walk,totalCost_walk_transit,totalHoursOfVehicleTrafficDelay,totalIncentive_bike,totalIncentive_car,totalIncentive_cav,totalIncentive_drive_transit,totalIncentive_onDemandRide,totalIncentive_onDemandRide_pooled,totalIncentive_onDemandRide_transit,totalIncentive_transit,totalIncentive_walk,totalIncentive_walk_transit,totalToll_bike,totalToll_car,totalToll_cav,totalToll_drive_transit,totalToll_onDemandRide,totalToll_onDemandRide_pooled,totalToll_onDemandRide_transit,totalToll_transit,totalToll_walk,totalToll_walk_transit
0,0.10447001916461131,0.0,0.0,0.007262487031273158,6698.0,6698.0,125.95305555555555,677.4850720056199,3.6884069871603073,2.1459348942231884,0.0020697779633816245,0.0026844777802609602,0.0013186228965268096,10.381658227744666,12.964816456731526,12.75718068031088,12.65250047713035,0.0,0.0,243.55621788283577,0.0,0.0,142483.0332350851,3164.204598494321,235585.70726328064,43792.39671315425,0,654052.1166666667,109273.75,391636.8833333333,180596.4,0.0,0.0,87.04088535477823,0.0,0.0,70932.67443896158,0.0,0.0,0.0,0.0,0.0,10.853033742605144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.13524656761198678,0.0,0.0,0.0025078369905956114,6364.0,6364.0,128.10361111111112,678.9599580346214,6.548439136811236,2.4596391879787602,0.0026164541958393775,0.003304999672429531,0.0015906614178306411,127.32516339076224,87.73020810902005,72.34863339994776,140.45824082233284,0.0,0.0,239.75451038238808,0.0,0.0,142483.03323508508,3640.4282909183835,240261.15184757928,46624.81657268712,0,657825.0833333334,146231.43333333332,409528.01666666666,181168.53333333333,0.0,0.0,21.978298012856595,0.0,0.0,81379.78062814423,0.0,0.0,0.0,0.0,0.0,231.05380615273754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.10794502677086688,0.0,0.0,0.00109204368174727,6403.0,6403.0,127.29138888888889,678.9324595893403,5.075977406424077,2.324929921443974,0.0042724969850487585,0.0030344367475217075,0.00156548150375338,106.78603685963023,53.93310519791096,61.604806410360545,94.53867746863332,0.0,0.0,240.9578653605181,0.0,0.0,142483.03323508508,3129.074249863487,240189.81567685984,46126.833996048364,0,653157.5666666667,128980.76666666666,411138.61666666664,180409.06666666668,0.0,0.0,17.045804741171196,0.0,0.0,76926.50994544715,0.0,0.0,0.0,0.0,0.0,141.70297322798484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.11875317323846861,0.0,0.0,7.915149596327371E-4,6312.0,6312.0,127.06527777777778,678.8186578235449,6.411874207858057,2.3680980190940506,0.002494477508421771,0.005911458475960771,0.0015008678388822173,139.48684126295632,73.42976842303167,33.88824197502276,137.4928501367531,0.0,0.0,240.54430437251432,0.0,0.0,142483.03323508508,3537.3355057093268,241592.62842341952,46623.240608478234,0,654859.8666666667,139375.95,414621.75,180745.23333333334,0.0,0.0,14.950273216015397,0.0,0.0,78357.25366870158,0.0,0.0,0.0,0.0,0.0,229.99498431209088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1358394267881052,0.0,0.0,0.0013201320132013201,6052.0,6052.0,129.2186111111111,680.1734179415855,7.147182749504277,2.486761404869403,0.0049047927048683085,0.003131979920104354,0.001563499939078336,398.8877647073356,65.40921555635215,68.95455571824866,248.79249295286584,0.0,0.0,241.35005087620004,0.0,0.0,142483.03323508508,3607.007471307868,244240.53711172377,47257.41371741912,0,658018.6666666666,152993.25,425549.4666666667,181996.45,0.0,0.0,16.693560967707597,0.0,0.0,82282.67513318517,0.0,0.0,0.0,0.0,0.0,377.8881531850751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0918127505062275,0.0,0.0,8.322237017310253E-4,6003.0,6003.0,128.80916666666667,680.5276884291054,4.708637347992659,2.0622213161008385,0.002466714795455698,0.002932404629732482,0.0015335575529817366,82.96075734328043,48.522489305574226,79.70276509482885,84.54227268794237,0.0,0.0,239.91635113815545,0.0,0.0,142483.0332350851,2872.484316499191,245096.72202724658,40275.62433536596,56.43333333333333,657319.0166666667,113095.73333333334,428734.98333333334,181821.66666666666,0.0,0.0,14.247485350528997,0.0,0.0,68234.9669710067,0.0,0.0,0.0,0.0,0.0,116.29259287519184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.10408412524945872,0.0,0.0,3.35795836131632E-4,5954.0,5954.0,129.07972222222222,680.8891875487731,4.803804165267019,2.160006323712701,0.00321824247976415,0.003075222654276474,0.0015323656766165824,116.11117473543213,42.8152286757867,47.43269517876359,90.23811433204878,0.0,0.0,240.5769196025278,0.0,0.0,142483.0332350851,2985.2981040578966,245689.17469844283,41617.11012252963,0,655884.2166666667,118070.01666666666,431021.51666666666,183031.78333333333,0.0,0.0,8.9825906047718,0.0,0.0,71476.42669266707,0.0,0.0,0.0,0.0,0.0,131.89804378201129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.11097568469714426,0.0,0.0,6.904885206283445E-4,5789.0,5789.0,128.1002777777778,681.626711735136,5.664291472332575,2.1738124420609553,0.005436806892860144,0.003410999561193839,0.0015740141284288998,206.1315940066536,61.65562285170845,40.119222254937135,146.62601050492708,0.0,0.0,241.49613165931305,0.0,0.0,142483.0332350851,2949.7825538008324,248109.35431090713,42459.24177065163,0,660338.4166666666,125103.45,439188.93333333335,182071.46666666667,0.0,0.0,13.161210328015597,0.0,0.0,71929.16155967928,0.0,0.0,0.0,0.0,0.0,213.01500970576905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.11639964218733982,0.0,0.0,6.938421509106678E-4,5761.0,5761.0,129.0575,682.2310156723526,5.1218075565584185,2.09310599757656,0.003364807539355324,0.0032270350577849926,0.0014761223987058859,216.66217888500398,57.81921581585319,36.075493842330644,149.39504490306285,0.0,0.0,240.29502818489163,0.0,0.0,142483.0332350851,2746.1019685444935,248331.7888301931,40086.4289280899,0,659592.5666666667,117985.48333333334,439858.8333333333,183295.83333333334,0.0,0.0,13.119647209706198,0.0,0.0,69258.22334258653,0.0,0.0,0.0,0.0,0.0,212.38995550385434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.11535359548834902,0.0,0.0,5.247507433968865E-4,5714.0,5714.0,128.78722222222223,682.1933754216034,4.7949130789873164,1.9306777435945857,0.0030247691562014065,0.00316513708939513,0.0015031465409876895,58.06602589140217,41.04160342936899,49.485538503450265,68.72191782008377,0.0,0.0,240.65288602733415,0.0,0.0,142483.0332350851,2728.1284705538274,249247.92947159012,38819.665275217165,0,660675.1833333333,105935.61666666667,442391.81666666665,183204.41666666666,0.0,0.0,11.051021402252397,0.0,0.0,63884.72890286054,0.0,0.0,0.0,0.0,0.0,96.30613205620074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.10412681660847296,0.0,0.0,3.4837136387388956E-4,5739.0,5739.0,128.45138888888889,681.9877194499697,4.374905616541728,1.9828820050127776,0.0032777597373562796,0.0030745385757710436,0.0013852522866787816,115.70151462507332,41.591937415627164,43.68150936355984,89.69816744584404,0.0,0.0,240.57686701053976,0.0,0.0,142483.03323508508,2557.8025991958393,248152.33017778437,39963.625418881886,0,660455.55,106529.85,440120.55,182647.8,0.0,0.0,9.082092524207603,0.0,0.0,65614.39786337366,0.0,0.0,0.0,0.0,0.0,120.519454426541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
