iteration,vehicleType,vehicleMilesTraveled,vehicleHoursTraveled,numberOfVehicles
0,siouxareametro-sd-us:1351,0.0,0.0,1.0
0,siouxareametro-sd-us:1341,0.0,0.0,12.0
0,siouxareametro-sd-us:1345,0.0,0.0,2.0
0,siouxareametro-sd-us:1340,0.0,0.0,4.0
0,siouxareametro-sd-us:1347,0.0,0.0,3.0
0,BODY-TYPE-DEFAULT,0.0,15725.014722222222,15001.0
0,BUS-DEFAULT,6121.512691032592,362.6,596.0
0,siouxareametro-sd-us:1346,0.0,0.0,4.0
0,siouxareametro-sd-us:1342,0.0,0.0,4.0
0,PHEV,3792.552789626554,306.6036111111111,375.0
0,BEV,5860.645291744669,478.41833333333335,573.0
0,siouxareametro-sd-us:1349,0.0,0.0,4.0
0,siouxareametro-sd-us:1343,0.0,0.0,2.0
0,BUS-STD-ART,201.58766794177313,11.966666666666667,14.0
0,CAR-TYPE-DEFAULT,10471.701809907112,855.0255555555556,1046.0
0,BUS-STD-HD,687.9348203846629,50.13333333333333,64.0
0,siouxareametro-sd-us:1350,0.0,0.0,2.0
0,BUS-SMALL-HD,523.479241031272,24.533333333333335,64.0
0,siouxareametro-sd-us:1348,0.0,0.0,2.0
0,siouxareametro-sd-us:1344,0.0,0.0,2.0
1,siouxareametro-sd-us:1351,0.0,0.0,1.0
1,siouxareametro-sd-us:1341,0.0,0.0,12.0
1,siouxareametro-sd-us:1345,0.0,0.0,2.0
1,siouxareametro-sd-us:1340,0.0,0.0,4.0
1,siouxareametro-sd-us:1347,0.0,0.0,3.0
1,BODY-TYPE-DEFAULT,0.0,16087.705,15001.0
1,BUS-DEFAULT,6121.512691032592,362.6,596.0
1,siouxareametro-sd-us:1346,0.0,0.0,4.0
1,siouxareametro-sd-us:1342,0.0,0.0,4.0
1,PHEV,3886.543681531734,406.5761111111111,387.0
1,BEV,5943.303149200328,620.6961111111111,590.0
1,siouxareametro-sd-us:1349,0.0,0.0,4.0
1,siouxareametro-sd-us:1343,0.0,0.0,2.0
1,BUS-STD-ART,201.58766794177313,11.966666666666667,14.0
1,CAR-TYPE-DEFAULT,10382.773242773255,1090.453888888889,1014.0
1,BUS-STD-HD,687.9348203846629,50.13333333333333,64.0
